,num_units,num_stories,num_rooms,num_bedrooms,monthly_rent,outofpocket_rent,year,hhinc,num_under6,num_under18
5,3,1,4,3,1200,1200,2011,18000,1,3
6,3,1,4,3,900,41,2011,9400,3,3
8,3,1,2,2,1200,1200,2011,31200,1,3
15,5,2,4,3,1300,1300,2011,43000,1,3
17,4,2,3,3,1500,1500,2011,95000,1,2
19,3,1,4,3,1400,224,2011,7896,1,1
20,6,3,5,4,500,500,2011,4152,1,1
21,5,2,5,4,900,900,2011,18000,1,1
23,5,2,4,3,1225,1225,2011,26000,1,1
24,5,2,5,4,1600,1600,2011,36000,2,2
26,5,2,5,4,1550,171,2011,14000,1,5
27,11,5,4,3,500,500,2011,2500,1,1
28,11,5,3,2,1100,80,2011,12600,2,2
29,8,3,5,4,971,468,2011,23316,1,2
30,8,3,3,2,1200,1200,2011,52780,1,1
31,11,3,5,4,1500,1500,2011,80160,1,1
32,8,3,5,4,1600,345,2011,13114,3,4
33,3,2,4,3,1444,217,2011,16000,2,2
34,3,1,6,4,2700,2700,2011,80120,1,1
36,11,5,3,2,1200,218,2011,16372,1,1
37,11,5,3,2,998,360,2011,8208,1,1
38,9,5,6,5,1000,1000,2011,22020,2,2
39,11,4,4,3,900,512,2011,32884,1,1
40,11,4,3,2,1085,1085,2011,8364,1,1
41,11,4,3,2,1250,130,2011,25500,2,3
42,11,5,3,2,1000,150,2011,12000,1,2
43,13,6,6,5,648,648,2011,29823,1,1
44,13,6,4,3,449,449,2011,21301,1,3
45,13,6,4,3,602,602,2011,45605,1,2
47,12,5,3,2,900,358,2011,18000,1,1
48,12,4,4,3,1270,161,2011,10000,2,2
49,12,4,3,2,1058,0,2011,10000,2,2
50,6,1,4,3,1000,300,2011,4320,3,3
51,6,1,2,2,600,600,2011,65000,1,1
52,8,1,5,4,1681,215,2011,7656,2,4
53,6,1,3,2,970,0,2011,16776,1,1
54,11,3,3,2,203,203,2011,9168,1,1
55,11,3,6,5,277,277,2011,11440,1,1
56,11,5,5,4,277,277,2011,8695,1,1
57,11,5,3,2,400,400,2011,12936,1,1
58,12,5,3,2,600,600,2011,62000,1,1
59,12,5,3,2,400,400,2011,8400,1,1
60,12,5,4,3,600,600,2011,6204,1,1
61,9,3,1,1,1070,0,2011,1992,1,1
62,11,3,1,1,725,300,2011,9280,1,1
63,11,3,1,1,710,0,2011,8100,1,1
65,11,4,3,2,864,864,2011,10820,1,3
66,11,4,4,3,1080,315,2011,13000,2,2
67,11,4,3,2,650,650,2011,23000,1,1
68,5,2,5,4,1000,1000,2011,13200,1,1
69,5,2,5,4,1500,1500,2011,102400,1,2
70,5,2,4,4,1500,1500,2011,23000,1,3
74,12,4,6,5,637,637,2011,30528,1,1
77,13,5,4,3,979,979,2011,45000,1,1
78,13,5,4,3,1468,713,2011,22000,1,2
79,13,5,4,3,950,650,2011,6936,2,4
80,11,5,2,2,277,277,2011,12400,1,1
81,11,4,3,2,449,449,2011,13000,1,1
82,11,5,3,2,260,260,2011,13000,1,2
83,11,5,5,4,665,665,2011,35171,1,2
86,5,2,5,4,800,800,2011,64000,1,1
87,12,5,6,5,980,125,2011,9192,2,5
88,11,5,5,4,1482,384,2011,8592,1,4
89,12,5,6,5,1500,52,2011,16308,1,4
90,12,5,3,2,975,50,2011,17160,2,3
91,10,5,3,3,2500,2500,2011,50000,1,1
92,10,4,4,3,962,962,2011,53000,1,3
93,10,3,4,3,968,968,2011,84800,1,3
94,10,4,4,3,1100,1100,2011,19000,4,4
96,3,2,4,3,1283,224,2011,7440,1,1
99,8,2,4,3,502,287,2011,22400,1,3
100,8,2,4,3,433,433,2011,36816,1,1
102,8,2,4,3,165,165,2011,38400,1,1
103,11,5,3,2,1000,171,2011,16764,1,1
104,11,5,3,2,800,112,2011,12521,1,1
106,11,4,5,4,1590,240,2011,8364,1,3
107,12,5,4,3,1340,940,2011,42000,1,1
108,12,5,4,3,940,940,2011,58000,1,2
109,12,5,4,4,1089,1089,2011,50000,3,4
110,12,5,4,3,760,180,2011,-28000,1,1
111,13,6,3,2,223,223,2011,5000,3,3
112,13,6,5,4,420,420,2011,8400,1,3
113,13,6,4,2,487,487,2011,24000,1,1
114,12,6,4,3,260,260,2011,8112,1,1
115,13,7,3,2,610,610,2011,8112,1,1
116,13,7,4,3,385,385,2011,15204,1,1
117,13,7,4,3,218,218,2011,9168,1,1
118,13,7,5,4,218,218,2011,8364,3,5
119,11,4,3,2,800,0,2011,8364,1,1
120,11,4,3,2,823,0,2011,8290,1,1
121,11,4,3,2,875,875,2011,8400,1,1
122,8,4,3,2,900,900,2011,13500,1,3
123,11,5,4,3,827,365,2011,22248,3,5
124,11,5,4,3,615,615,2011,19700,1,2
125,11,5,4,3,718,718,2011,34800,3,4
126,11,5,4,3,688,688,2011,32000,1,3
127,12,5,4,3,850,850,2011,65200,2,2
128,12,5,3,2,693,693,2011,15900,2,2
129,12,5,4,3,818,818,2011,63000,1,2
130,12,5,3,2,708,708,2011,31056,1,1
131,11,5,2,2,1170,153,2011,9352,1,1
132,11,5,4,3,1449,111,2011,8604,1,1
133,11,5,5,4,1500,711,2011,57300,1,1
134,11,5,3,3,1425,145,2011,2730,2,2
135,11,5,5,4,1000,520,2011,18800,2,3
136,11,5,3,2,835,835,2011,147800,1,1
137,11,5,3,3,1000,300,2011,41368,2,3
138,13,5,3,2,1500,711,2011,10824,1,1
139,13,5,2,2,1000,168,2011,9132,1,1
140,13,5,3,2,775,775,2011,45419,1,1
141,12,6,3,2,205,205,2011,76112,1,1
142,12,6,3,2,484,484,2011,19428,1,1
143,12,6,2,1,325,325,2011,8000,1,1
144,12,6,3,2,464,464,2011,45419,1,1
145,12,4,4,3,494,231,2011,12168,1,1
147,13,4,3,2,825,825,2011,26000,1,2
148,11,4,3,2,900,900,2011,56500,3,3
149,11,4,3,2,600,600,2011,21132,1,1
150,12,4,4,3,1091,0,2011,29220,2,5
151,12,6,5,4,1000,170,2011,7668,1,2
152,12,6,7,5,1840,103,2011,92891,1,6
154,13,5,4,3,890,890,2011,95000,3,3
155,12,5,4,3,890,890,2011,98890,2,2
156,12,6,3,2,815,815,2011,24000,1,1
157,12,5,4,3,900,900,2011,33000,1,2
158,13,7,4,3,555,555,2011,23436,1,1
159,13,7,4,3,1150,185,2011,22764,2,3
160,13,6,4,3,1300,250,2011,8676,2,2
161,13,7,4,3,610,610,2011,43422,1,3
162,13,7,4,3,425,425,2011,69000,1,1
163,13,7,4,3,348,348,2011,13872,1,1
164,13,7,3,2,132,132,2011,13000,1,1
165,13,7,5,4,1070,50,2011,13100,2,2
166,11,4,4,4,1100,1100,2011,112320,1,1
167,12,4,4,3,473,473,2011,12192,1,1
168,11,4,3,2,800,800,2011,8364,1,1
169,11,4,4,3,1312,116,2011,8672,1,2
170,13,6,5,4,760,760,2011,19000,1,3
171,13,6,4,3,346,346,2011,16124,1,2
172,13,6,3,2,278,278,2011,10800,2,3
173,13,6,6,5,626,626,2011,30900,1,3
174,13,6,5,4,532,532,2011,22596,1,1
175,13,6,3,2,183,183,2011,2000,1,2
176,13,6,3,2,341,341,2011,21548,1,1
177,13,6,6,5,675,675,2011,37680,1,3
178,13,6,4,3,400,400,2011,19400,1,2
179,13,6,3,2,511,511,2011,-13000,1,2
180,13,6,5,4,439,166,2011,7110,1,4
181,13,6,5,4,906,906,2011,51824,3,5
183,12,6,3,2,875,875,2011,12000,1,1
184,13,6,3,2,993,993,2011,38000,1,1
185,12,6,4,3,752,752,2011,17600,1,1
186,13,6,4,3,323,323,2011,13308,1,1
187,13,6,4,3,486,486,2011,8484,1,1
188,13,6,3,2,209,209,2011,9012,1,1
190,13,5,3,2,890,890,2011,93000,1,1
191,13,5,4,3,1089,489,2011,12800,1,2
192,13,5,3,2,717,717,2011,53000,1,2
193,13,5,3,2,660,660,2011,41000,2,2
194,12,4,3,2,800,800,2011,17000,3,3
195,12,4,3,2,740,740,2011,30923,1,1
196,11,4,3,2,588,588,2011,40400,1,1
197,11,4,5,4,866,300,2011,2000,1,5
198,13,6,4,3,593,593,2011,28000,1,1
199,13,6,4,3,597,597,2011,22620,2,2
200,13,6,4,3,679,679,2011,49100,1,1
201,13,6,4,3,443,443,2011,17406,2,3
202,10,4,4,3,952,120,2011,2543,1,2
